t,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
69.0,0.0005095191,0.0008375072,0.00122391,0.001622884,0.002042089,0.002469037,0.002900841,0.00333579,0.003772955,0.00421199,0.004652338,0.005093793,0.005536043,0.005978924,0.006422333,0.006866175,0.007310317,0.007754453,0.008198903,0.008643723
70.0,0.0005085516,0.0008357542,0.001221608,0.00162022,0.002039144,0.002465864,0.002897473,0.003332247,0.003769249,0.004208138,0.004648348,0.005089676,0.005531803,0.005974565,0.006417856,0.006861581,0.007305599,0.007749592,0.008193945,0.008638655
71.0,0.0005075962,0.0008340198,0.001219329,0.00161758,0.002036226,0.002462718,0.002894134,0.003328734,0.003765576,0.004204318,0.004644393,0.005085593,0.005527599,0.005970242,0.006413417,0.006857025,0.007300919,0.007744774,0.00818903,0.008633629
72.0,0.0005066527,0.0008323036,0.001217072,0.001614964,0.002033332,0.0024596,0.002890824,0.00332525,0.003761933,0.004200531,0.004640471,0.005081544,0.005523429,0.005965955,0.006409014,0.006852507,0.007296277,0.007739999,0.008184155,0.008628643
73.0,0.0005057208,0.0008306052,0.001214836,0.001612371,0.002030464,0.002456508,0.002887541,0.003321796,0.00375832,0.004196775,0.004636581,0.005077528,0.005519294,0.005961703,0.006404648,0.006848026,0.00729167,0.007735264,0.008179321,0.008623694
74.0,0.0005048001,0.0008289241,0.001212621,0.001609801,0.002027621,0.002453442,0.002884286,0.00331837,0.003754737,0.004193049,0.004632722,0.005073545,0.005515192,0.005957485,0.006400316,0.00684358,0.007287098,0.007730569,0.008174526,0.008618772
75.0,0.0005038904,0.00082726,0.001210426,0.001607253,0.002024801,0.002450401,0.002881056,0.003314971,0.003751183,0.004189353,0.004628894,0.005069593,0.005511122,0.005953301,0.006396018,0.006839169,0.00728256,0.007725912,0.008169768,0.00861385
76.0,0.0005029916,0.0008256124,0.001208251,0.001604727,0.002022004,0.002447385,0.002877853,0.003311599,0.003747656,0.004185686,0.004625096,0.005065672,0.005507085,0.005949149,0.006391754,0.006834791,0.007278053,0.007721292,0.008165048,0.008608954
77.0,0.0005021032,0.000823981,0.001206096,0.001602222,0.002019231,0.002444393,0.002874675,0.003308254,0.003744157,0.004182048,0.004621327,0.005061782,0.005503078,0.005945029,0.006387522,0.006830447,0.007273578,0.007716708,0.008160364,0.008604113
78.0,0.0005012251,0.0008223654,0.00120396,0.001599738,0.002016479,0.002441425,0.002871522,0.003304934,0.003740685,0.004178437,0.004617587,0.00505792,0.005499101,0.005940939,0.006383322,0.006826135,0.007269131,0.007712159,0.008155715,0.008599289
79.0,0.0005003571,0.0008207653,0.001201842,0.001597273,0.002013749,0.002438479,0.002868393,0.00330164,0.003737239,0.004174853,0.004613874,0.005054088,0.005495154,0.00593688,0.006379153,0.006821854,0.007264711,0.007707644,0.008151101,0.008594514
80.0,0.0004994989,0.0008191803,0.001199743,0.001594829,0.002011041,0.002435556,0.002865287,0.00329837,0.003733818,0.004171295,0.004610189,0.005050283,0.005491236,0.005932851,0.006375014,0.006817604,0.007260312,0.007703163,0.00814652,0.008589788
81.0,0.0004986503,0.0008176101,0.001197661,0.001592404,0.002008353,0.002432655,0.002862205,0.003295124,0.003730423,0.004167764,0.00460653,0.005046506,0.005487346,0.00592885,0.006370905,0.006813383,0.007255936,0.007698714,0.008141971,0.008585099
82.0,0.000497811,0.0008160543,0.001195597,0.001589998,0.002005685,0.002429776,0.002859145,0.003291902,0.003727052,0.004164257,0.004602898,0.005042755,0.005483483,0.005924878,0.006366824,0.006809192,0.007251597,0.007694297,0.008137455,0.008580431
83.0,0.000496981,0.0008145128,0.001193549,0.00158761,0.002003038,0.002426918,0.002856107,0.003288703,0.003723704,0.004160776,0.004599291,0.005039031,0.005479647,0.005920933,0.006362772,0.00680503,0.007247293,0.007689911,0.00813297,0.008575769
84.0,0.00049616,0.0008129852,0.001191519,0.001585241,0.00200041,0.00242408,0.002853091,0.003285526,0.00372038,0.004157318,0.004595709,0.005035332,0.005475838,0.005917016,0.006358747,0.006800895,0.007243023,0.007685556,0.008128515,0.008571142
85.0,0.0004953478,0.0008114712,0.001189504,0.001582889,0.001997801,0.002421262,0.002850096,0.003282371,0.00371708,0.004153884,0.004592151,0.005031658,0.005472054,0.005913124,0.00635475,0.006796787,0.007238783,0.00768123,0.008124089,0.008566544
86.0,0.0004945442,0.0008099705,0.001187506,0.001580555,0.001995211,0.002418464,0.002847122,0.003279238,0.003713801,0.004150474,0.004588617,0.005028009,0.005468296,0.005909259,0.006350778,0.006792706,0.007234574,0.007676933,0.008119692,0.008561951
87.0,0.0004937491,0.0008084829,0.001185524,0.001578238,0.001992639,0.002415686,0.002844168,0.003276126,0.003710544,0.004147086,0.004585106,0.005024383,0.005464562,0.005905419,0.006346833,0.006788651,0.007230395,0.007672665,0.008115322,0.008557349
88.0,0.0004929622,0.0008070081,0.001183556,0.001575937,0.001990084,0.002412926,0.002841234,0.003273035,0.003707309,0.00414372,0.004581618,0.005020782,0.005460852,0.005901603,0.006342913,0.006784621,0.007226243,0.007668424,0.008110977,0.008552791
89.0,0.0004921834,0.0008055458,0.001181604,0.001573653,0.001987548,0.002410185,0.002838319,0.003269963,0.003704095,0.004140376,0.004578153,0.005017203,0.005457166,0.005897812,0.006339017,0.006780616,0.007222119,0.007664211,0.008106652,0.008548273
90.0,0.0004914126,0.0008040958,0.001179667,0.001571385,0.001985029,0.002407463,0.002835424,0.003266912,0.003700901,0.004137053,0.004574709,0.005013646,0.005453502,0.005894044,0.006335146,0.006776635,0.007218023,0.007660024,0.008102328,0.008543787
91.0,0.0004906495,0.0008026579,0.001177744,0.001569133,0.001982526,0.002404758,0.002832547,0.00326388,0.003697728,0.004133751,0.004571287,0.005010112,0.005449862,0.0058903,0.006331299,0.006772678,0.007213952,0.007655863,0.008098011,0.008539319
92.0,0.0004898941,0.0008012318,0.001175835,0.001566896,0.00198004,0.002402071,0.002829689,0.003260867,0.003694575,0.004130469,0.004567886,0.005006599,0.005446243,0.005886578,0.006327474,0.006768744,0.007209907,0.007651727,0.008093726,0.008534867
93.0,0.0004891462,0.0007998174,0.00117394,0.001564674,0.001977571,0.002399401,0.002826849,0.003257873,0.00369144,0.004127208,0.004564506,0.005003108,0.005442647,0.005882879,0.006323673,0.006764832,0.007205886,0.007647617,0.00808946,0.008530462
94.0,0.0004884056,0.0007984144,0.001172059,0.001562467,0.001975117,0.002396747,0.002824026,0.003254898,0.003688325,0.004123966,0.004561146,0.004999637,0.005439072,0.005879202,0.006319894,0.006760942,0.007201891,0.007643531,0.008085209,0.00852609
95.0,0.0004876723,0.0007970225,0.001170191,0.001560275,0.001972679,0.002394111,0.002821221,0.00325194,0.003685229,0.004120743,0.004557806,0.004996187,0.005435517,0.005875546,0.006316136,0.006757073,0.007197918,0.007639469,0.008081,0.008521746
96.0,0.000486946,0.0007956417,0.001168337,0.001558097,0.001970256,0.00239149,0.002818432,0.003249,0.003682151,0.00411754,0.004554485,0.004992756,0.005431983,0.005871911,0.0063124,0.006753225,0.00719397,0.00763543,0.008076803,0.008517422
97.0,0.0004862266,0.0007942717,0.001166495,0.001555934,0.001967848,0.002388886,0.00281566,0.003246077,0.003679091,0.004114354,0.004551183,0.004989345,0.005428469,0.005868296,0.006308685,0.006749397,0.007190044,0.007631415,0.008072615,0.008513101
